1745612621745329 - DROP: Packet 81 at end of ingress (egress_spec == drop_port)
1745612621872282 - DROP: Packet 87 at end of ingress (egress_spec == drop_port)
1745612621872282 - DROP: Packet 82 at end of ingress (egress_spec == drop_port)
1745612621985266 - DROP: Packet 83 at end of ingress (egress_spec == drop_port)
1745612621986396 - DROP: Packet 84 at end of ingress (egress_spec == drop_port)
1745612621987468 - DROP: Packet 47 at end of ingress (egress_spec == drop_port)
1745612622000369 - DROP: Packet 85 at end of ingress (egress_spec == drop_port)
1745612622001325 - DROP: Packet 48 at end of ingress (egress_spec == drop_port)
1745612622050610 - DROP: Packet 88 at end of ingress (egress_spec == drop_port)
1745612622050617 - DROP: Packet 49 at end of ingress (egress_spec == drop_port)
1745612622114310 - DROP: Packet 89 at end of ingress (egress_spec == drop_port)
1745612622115362 - DROP: Packet 50 at end of ingress (egress_spec == drop_port)
1745612622128267 - DROP: Packet 86 at end of ingress (egress_spec == drop_port)
1745612622256304 - DROP: Packet 90 at end of ingress (egress_spec == drop_port)
1745612622256330 - DROP: Packet 87 at end of ingress (egress_spec == drop_port)
1745612622370548 - DROP: Packet 88 at end of ingress (egress_spec == drop_port)
1745612622370550 - DROP: Packet 51 at end of ingress (egress_spec == drop_port)
1745612622384382 - DROP: Packet 91 at end of ingress (egress_spec == drop_port)
1745612622384385 - DROP: Packet 52 at end of ingress (egress_spec == drop_port)
1745612622433660 - DROP: Packet 89 at end of ingress (egress_spec == drop_port)
1745612622434731 - DROP: Packet 92 at end of ingress (egress_spec == drop_port)
1745612622499075 - DROP: Packet 90 at end of ingress (egress_spec == drop_port)
1745612622512371 - DROP: Packet 53 at end of ingress (egress_spec == drop_port)
1745612622512435 - DROP: Packet 93 at end of ingress (egress_spec == drop_port)
1745612622512532 - DROP: Packet 94 at end of ingress (egress_spec == drop_port)
1745612622562203 - DROP: Packet 95 at end of ingress (egress_spec == drop_port)
1745612622945834 - DROP: Packet 54 at end of ingress (egress_spec == drop_port)
1745612622946062 - DROP: Packet 91 at end of ingress (egress_spec == drop_port)
1745612622948017 - DROP: Packet 96 at end of ingress (egress_spec == drop_port)
1745612622950250 - DROP: Packet 97 at end of ingress (egress_spec == drop_port)
1745612624750971 - DROP: Packet 55 at end of ingress (egress_spec == drop_port)
1745612624750992 - DROP: Packet 92 at end of ingress (egress_spec == drop_port)
1745612624752185 - DROP: Packet 93 at end of ingress (egress_spec == drop_port)
1745612624815237 - DROP: Packet 56 at end of ingress (egress_spec == drop_port)
1745612624816387 - DROP: Packet 98 at end of ingress (egress_spec == drop_port)
1745612624877572 - DROP: Packet 99 at end of ingress (egress_spec == drop_port)
1745612624878470 - DROP: Packet 57 at end of ingress (egress_spec == drop_port)
